Calculated Thread: 0,   Block: 0,       Warp 0, Thread 0
Calculated Thread: 101, Block: 1,       Warp 1, Thread 37
Calculated Thread: 102, Block: 1,       Warp 1, Thread 38
Calculated Thread: 103, Block: 1,       Warp 1, Thread 39
Calculated Thread: 104, Block: 1,       Warp 1, Thread 40
Calculated Thread: 105, Block: 1,       Warp 1, Thread 41
Calculated Thread: 106, Block: 1,       Warp 1, Thread 42
Calculated Thread: 107, Block: 1,       Warp 1, Thread 43
Calculated Thread: 108, Block: 1,       Warp 1, Thread 44
Calculated Thread: 109, Block: 1,       Warp 1, Thread 45
Calculated Thread: 110, Block: 1,       Warp 1, Thread 46
Calculated Thread: 111, Block: 1,       Warp 1, Thread 47
Calculated Thread: 112, Block: 1,       Warp 1, Thread 48
Calculated Thread: 113, Block: 1,       Warp 1, Thread 49
Calculated Thread: 114, Block: 1,       Warp 1, Thread 50
Calculated Thread: 115, Block: 1,       Warp 1, Thread 51
Calculated Thread: 116, Block: 1,       Warp 1, Thread 52
Calculated Thread: 117, Block: 1,       Warp 1, Thread 53
Calculated Thread: 118, Block: 1,       Warp 1, Thread 54
Calculated Thread: 119, Block: 1,       Warp 1, Thread 55
Calculated Thread: 120, Block: 1,       Warp 1, Thread 56
Calculated Thread: 121, Block: 1,       Warp 1, Thread 57
Calculated Thread: 122, Block: 1,       Warp 1, Thread 58
Calculated Thread: 123, Block: 1,       Warp 1, Thread 59
Calculated Thread: 124, Block: 1,       Warp 1, Thread 60
Calculated Thread: 125, Block: 1,       Warp 1, Thread 61
Calculated Thread: 126, Block: 1,       Warp 1, Thread 62
Calculated Thread: 127, Block: 1,       Warp 1, Thread 63
